Id,X,Y,R,G,B,Parents
10,Blue Oyster Cult,3,166,206,226,50-51-52
11,Close Combat,1,31,120,180,44
12,Culture,2,178,223,138,34-35
13,DJ Yoda,2,51,160,40,42-43
14,Donell Jones,2,251,154,153,36-37
15,Eight Frozen Modules,1,227,26,28,49
16,Funkstoerung,1,253,191,111,48
17,Joe McPhee,1,255,127,0,54
18,John Stevens,1,202,178,214,53
19,Luis Miguel,4,27,158,119,30-31-32-33
20,MNEMIC,4,217,95,2,55-56-57-58
21,Regulations,3,230,171,2,45-46-47
22,Shawn Colvin,4,166,118,29,38-39-40-41
