Id,X,Y,R,G,B,Parents,Brothers
10,Blue Oyster Cult,1,166,206,226,276,400
12,Culture,5,178,223,138,83-84-85-82-90,402
22,Luis Miguel,10,27,158,119,30-35-36-37-64-41-44-46-60-40,412
28,Shawn Colvin,18,166,118,29,138-139-140-141-142-143-144-145-146-129-130-131-132-133-134-135-136-137,418
