Id,X,Y,R,G,B,Parents
617,1990,4,241,238,246,30-83-84-85
618,1991,1,208,209,230,82
619,1992,11,166,189,219,35-90-138-139-140-141-142-143-144-145-146
620,1993,3,116,169,207,36-37-64
621,1994,14,43,140,190,41-44-46-60-129-130-131-132-133-134-135-136-137-276
622,1995,1,4,90,141,40
